name,link,number,ean,manufacturerNumber,price,currency
Xerox Gelb Original Toner 4000 Seiten f�r Phaser 7700DN 7700DX 7700GX (016188100),http://www.future-x.de/xerox-gelb-original-toner-4000-seiten-f%FCr-phaser-7700dn-7700dx-7700gx-p-302956/?cPath=2_3848_5130_5713_5714_17678,,0042215483117,016188100,57.49,€
Xerox Cyan Original Toner 4000 Seiten f�r Phaser 7700DN 7700DX 7700GX (016187900),http://www.future-x.de/xerox-cyan-original-toner-4000-seiten-f%FCr-phaser-7700dn-7700dx-7700gx-p-302963/?cPath=2_3848_5130_5713_5714_17678,,0042215483070,016187900,117.89,€
Xerox Cyan Toner 9000 Seiten f�r Phaser 7400 7400DN 7400DNM (106R01150),http://www.future-x.de/xerox-cyan-toner-9000-seiten-f%FCr-phaser-7400-7400dn-7400dnm-p-302945/?cPath=2_3848_5130_5713_5714_17678,,0095205004298,106R01150,281.89,€
Xerox Gelb High Capacity Toner 10000 Seiten f�r Phaser 7700DN 7700DX 7700GX (016-1946-00),http://www.future-x.de/xerox-gelb-high-capacity-toner-10000-seiten-f%FCr-phaser-7700dn-7700dx-7700gx-p-302955/?cPath=2_3848_5130_5713_5714_17678,,0042215483124,016-1946-00,624.49,€
Xerox Gelb Original 34000 Seiten Toner f�r Colour C60 C70 (006R01658),http://www.future-x.de/xerox-gelb-original-34000-seiten-toner-f%FCr-colour-c60-c70-p-302968/?cPath=2_3848_5130_5713_5714_17678,,0095205616583,006R01658,118.49,€
Xerox Cyan Original Toner 11000 Seiten f�r WorkCentre C226 C226P C226U (006R01241),http://www.future-x.de/xerox-cyan-original-toner-11000-seiten-f%FCr-workcentre-c226-c226p-c226u-p-302958/?cPath=2_3848_5130_5713_5714_17678,,0095205612417,006R01241,126.89,€
Xerox Cyan Original Toner 1500 Seiten (113R00689),http://www.future-x.de/xerox-cyan-original-toner-1500-seiten-p-302941/?cPath=2_3848_5130_5713_5714_17678,,0095205219418,113R00689,72.49,€
Xerox Cyan Original Toner 15000 Seiten f�r WorkCentre 7120 7125 7220 7220i/7225 7225 (006R01460),http://www.future-x.de/xerox-cyan-original-toner-15000-seiten-f%FCr-workcentre-7120-7125-7220-7220i-7225-7225-p-302949/?cPath=2_3848_5130_5713_5714_17678,,0095205762358,006R01460,95.89,€
Xerox Cyan Original Toner 15000 Seiten f�r WorkCentre M24 (006R01154),http://www.future-x.de/xerox-cyan-original-toner-15000-seiten-f%FCr-workcentre-m24-p-302946/?cPath=2_3848_5130_5713_5714_17678,,0095205611540,006R01154,149.89,€
Xerox Cyan Original Toner 34.000 Seiten (006R01528),http://www.future-x.de/xerox-cyan-original-toner-34000-seiten-p-302928/?cPath=2_3848_5130_5713_5714_17678,,0095205615289,006R01528,179.49,€
Xerox Cyan Original Toner 34000 Seiten (006R01656),http://www.future-x.de/xerox-cyan-original-toner-34000-seiten-p-302971/?cPath=2_3848_5130_5713_5714_17678,,0095205616569,006R01656,107.49,€
Xerox Cyan Original Toner 4000 Seiten (106R01073),http://www.future-x.de/xerox-cyan-original-toner-4000-seiten-p-302934/?cPath=2_3848_5130_5713_5714_17678,,0095205062311,106R01073,193.49,€
Xerox Cyan Original Toner (006R01643),http://www.future-x.de/xerox-cyan-original-toner-p-302937/?cPath=2_3848_5130_5713_5714_17678,,0095205016437,006R01643,67.49,€
Xerox schwarz Toner 2300 Seiten f�r 6030 / 6050 (006R01185),http://www.future-x.de/xerox-schwarz-toner-2300-seiten-f%FCr-6030-6050-p-302839/?cPath=2_3848_5130_5713_5714_17677,,0095205611588,006R01185,95.89,€
Xerox Schwarz Tonernachf�llung 14300 Seiten f�r 6204 (006R01238),http://www.future-x.de/xerox-schwarz-tonernachf%FCllung-14300-seiten-f%FCr-6204-p-302838/?cPath=2_3848_5130_5713_5714_17677,,0095205612387,006R01238,130.49,€
